name,merged,protected,developers_can_push,developers_can_merge,can_push,default,project_id,commit_id
dev,False,True,True,True,True,True,126,81fa725da55cbb102cff47619bd4718c8e50ef16
live,False,False,False,False,True,False,126,3dc086f04481f110927f5535394551571e395c04
