id,iid,project_id,title,description,state,created_at,updated_at,merged_at,closed_at,target_branch,source_branch,user_notes_count,upvotes,downvotes,assignees,reviewers,source_project_id,target_project_id,labels,work_in_progress,merge_when_pipeline_succeeds,merge_status,sha,squash_commit_sha,should_remove_source_branch,force_remove_source_branch,web_url,squash,has_conflicts,author_id,assignee_id,milestone_id,merged_by_id,closed_by_id,time_estimate,total_time_spent,human_time_estimate,human_total_time_spent
172,73,126,hotfix to ticket #226139,correct display order of description in cost center HR,merged,2023-06-20T08:06:25.941000Z,2023-06-20T08:06:45.358000Z,2023-06-20T08:06:45.478000Z,,dev,live,0,0,0,[60],[],126,126,[],False,False,can_be_merged,b3e40ef0151dc81e4f6cb56e4ab218a26d431e9a,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/73,False,False,60,60,,60,,0,0,,
165,72,126,Added Jenkins build pipeline for dbtdocs.drschaer.com,,merged,2023-06-13T12:00:16.305000Z,2023-06-13T12:00:23.057000Z,2023-06-13T12:00:23.101000Z,,dev,dev-jenkins,0,0,0,[67],[],126,126,[],False,False,can_be_merged,ddee7c20a37d47075c328b00bb21887b55c41977,,False,True,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/72,False,False,67,67,,67,,0,0,,
135,71,126,NAV: created objects for investment plan,HR: correct boss assigned to emp key code,merged,2023-04-28T07:06:14.867000Z,2023-04-28T07:06:41.747000Z,2023-04-28T07:06:41.782000Z,,live,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,8cadde61dd3f2a5c41b5c2996ba3ae40f9442f19,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/71,False,False,60,60,,60,,0,0,,
133,70,126,Dev,,merged,2023-04-26T13:44:01.447000Z,2023-04-26T13:44:11.965000Z,2023-04-26T13:44:12.252000Z,,live,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,a52f7cf99a72c2194cc047be5cf4157d33d42b97,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/70,False,False,60,60,,60,,0,0,,
130,69,126,DEV,"troubleshoot request #219978
Package\SEQ_BuildBusCoreDim\DF_CostCtr\Lu_Location",merged,2023-03-21T13:37:17.056000Z,2023-03-21T13:37:28.320000Z,2023-03-21T13:37:28.454000Z,,dev,live,0,0,0,[60],[60],126,126,[],False,False,can_be_merged,de63d29cd68ae8b665c39ede9a68d095988d07fb,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/69,False,False,60,60,,60,,0,0,,
129,68,126,Live merge to Dev,,merged,2023-03-16T08:46:55.401000Z,2023-03-16T08:47:13.213000Z,2023-03-16T08:47:13.378000Z,,dev,live,0,0,0,[60],[],126,126,[],False,False,can_be_merged,a9537d6099105826726410ea523300f6b9a70d91,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/68,False,False,60,60,,60,,0,0,,
128,67,126,Fixlive,,merged,2023-02-27T14:56:46.378000Z,2023-02-27T15:05:10.845000Z,2023-02-27T15:05:10.896000Z,,live,fixlive,0,0,0,[60],[],126,126,[],False,False,can_be_merged,95e7adb59caa438379476264cba06a6f76482da1,,False,True,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/67,False,False,60,60,,60,,0,0,,
127,66,126,Dev,,merged,2023-02-21T16:21:52.031000Z,2023-02-21T16:21:59.678000Z,2023-02-21T16:21:59.779000Z,,live,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,651eda1e154ecf4a8d34b9760e56611c0240b839,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/66,False,False,60,60,,60,,0,0,,
125,65,126,TEST,"troubleshoot change in metadata in DBSrc_IdmCompanyMapping IdmCompanyMappingId column status returned was: ""DBSTATUS_UNAVAILABLE"".",merged,2023-02-10T11:00:35.869000Z,2023-02-10T11:01:44.544000Z,2023-02-10T11:01:44.612000Z,,dev,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,6440b3f493b2f4df80838f823e56aa899b2aaa6f,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/65,False,False,60,60,,60,,0,0,,
124,64,126,Live,,merged,2023-02-01T10:41:38.425000Z,2023-02-01T10:41:48.729000Z,2023-02-01T10:41:49.350000Z,,dev,live,0,0,0,[60],[],126,126,[],False,False,can_be_merged,5cd43ff0c459fb099f630997861c1078175e93bb,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/64,False,False,60,60,,60,,0,0,,
123,63,126,Test,,merged,2023-02-01T10:40:48.440000Z,2023-02-01T10:40:55.676000Z,2023-02-01T10:40:55.757000Z,,live,test,0,0,0,[],[],126,126,[],False,False,can_be_merged,a8213867488a2c15192a991af80e639d3b5e3688,,False,True,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/63,False,False,60,,,60,,0,0,,
122,62,126,Test,,merged,2023-01-26T15:51:53.312000Z,2023-01-26T15:52:02.887000Z,2023-01-26T15:52:02.940000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,56a8fca0b885cbc6910215c889f4a0fc4ba2cff4,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/62,False,False,60,60,,60,,0,0,,
121,61,126,Dev,,merged,2023-01-26T15:50:16.254000Z,2023-01-26T15:50:24.361000Z,2023-01-26T15:50:24.409000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,d4b78a0bf8291230d5d3c710eba99aa974f99899,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/61,False,False,60,60,,60,,0,0,,
120,60,126,Test,,merged,2022-12-21T09:39:14.249000Z,2022-12-21T09:39:24.062000Z,2022-12-21T09:39:24.100000Z,,live,test,0,0,0,[60],[60],126,126,[],False,False,can_be_merged,81be5ad974f26f807767ad16f9699fec6d6156d2,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/60,False,False,60,60,,60,,0,0,,
119,59,126,Dev,,merged,2022-12-21T09:37:56.512000Z,2022-12-21T09:38:06.511000Z,2022-12-21T09:38:06.592000Z,,test,dev,0,0,0,[60],[60],126,126,[],False,False,can_be_merged,1a79d18887667109fa4906f77e3beb68cea700c5,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/59,False,False,60,60,,60,,0,0,,
118,58,126,Test,,merged,2022-10-14T08:08:44.824000Z,2022-10-14T08:09:07.874000Z,2022-10-14T08:09:07.911000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,113f54d5bc13efd7ddaa1ecec2e50fd2af5f4afe,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/58,False,False,60,60,,60,,0,0,,
117,57,126,Dev,,merged,2022-10-14T08:06:12.447000Z,2022-10-14T08:06:24.877000Z,2022-10-14T08:06:24.928000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,8a3c8961ff53dd9688bcd09eaca3351368bb5733,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/57,False,False,60,60,,60,,0,0,,
115,56,126,Test,,merged,2022-10-03T13:34:58.746000Z,2022-10-03T13:35:12.737000Z,2022-10-03T13:35:12.790000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,0209bd736b7fdf3830185610849de13833be8c47,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/56,False,False,60,60,,60,,0,0,,
